Date,Exchange,Company Name,Number of Shares,Price,Status,Symbol,Number of Shares
2005-11-10,Nasdaq National Market,SAIFUN SEMICONDUCTORS LTD.,5000000.0,23.50,priced,SFUN,117500000.0
2005-11-10,American Stock Exchange,COLD SPRING CAPITAL INC.,20000000.0,6.00,priced,CDS.U,120000000.0
2005-11-09,New York Stock Exchange,"BOARDWALK PIPELINE PARTNERS, LP",15000000.0,19.50,priced,BWP,292500000.0
2005-11-09,Nasdaq National Market,IROBOT CORP,4300000.0,24.00,priced,IRBT,103200000.0
2005-11-09,Nasdaq National Market,"EPIRUS BIOPHARMACEUTICALS, INC.",6000000.0,7.00,priced,CRXX,42000000.0
2005-11-03,,UNITECH ENERGY CORP,,,withdrawn,,
2005-11-02,New York Stock Exchange,"NEWKIRK REALTY TRUST, INC.",15000000.0,16.00,priced,NKT,240000000.0
2005-11-02,Nasdaq National Market,"CBEYOND, INC.",6132353.0,12.00,priced,CBEY,73588236.0
2005-11-02,Nasdaq National Market,"WEB.COM GROUP, INC.",6800000.0,10.00,priced,WSPI,68000000.0
2005-12-30,OTCBB,"VISTULA COMMUNICATIONS SERVICES, INC.",34197488.0,1.00,priced,VSTL,34197488.0
2005-12-29,,"CHAPARRAL ENERGY, INC.",,,withdrawn,,
2005-12-23,,"ANNAS LINENS, INC.",,,withdrawn,,
2005-12-22,,CAVAN MARITIME LTD,,,withdrawn,,
2005-12-21,Nasdaq National Market,"MAJESTIC CAPITAL, LTD.",8850000.0,13.00,priced,CRMH,115050000.0
2005-12-20,,PRESTWICK PHARMACEUTICALS INC,,,withdrawn,,
2005-12-19,,TEAM HEALTH INC,,,withdrawn,,
2005-12-19,,"IDT SPECTRUM, INC.",,,withdrawn,,
2005-12-16,New York Stock Exchange,ENVISION HEALTHCARE CORP,7800000.0,14.00,priced,EMS,109200000.0
2005-12-16,American Stock Exchange,"AMERICAN APPAREL, INC",15000000.0,8.00,priced,EDA-U,120000000.0
2005-12-16,New York Stock Exchange,EMERGENCY MEDICAL SERVICES L.P.,8100000.0,14.00,priced,EMS,113400000.0
2005-12-16,Nasdaq National Market,"DEI HOLDINGS, INC.",9375000.0,16.00,priced,DEIX,150000000.0
2005-12-16,American Stock Exchange,STAR MARITIME ACQUISITION CORP.,18867500.0,10.00,priced,SEAU,188675000.0
2005-12-16,Nasdaq National Market,SPANSION INC.,42200000.0,12.00,priced,SPSN,506400000.0
2005-12-15,,ALGORX PHARMACEUTICALS INC,,,withdrawn,,
2005-12-15,New York Stock Exchange,"COPA HOLDINGS, S.A.",15750000.0,20.00,priced,CPA,315000000.0
2005-12-15,Nasdaq National Market,"PERNIX SLEEP, INC.",5000000.0,11.00,priced,SOMX,55000000.0
2005-12-15,New York Stock Exchange,REPUBLIC PROPERTY TRUST,20000000.0,12.00,priced,RPB,240000000.0
2005-12-15,Nasdaq SmallCap Market,CAROLINA NATIONAL CORP,1000000.0,16.00,priced,CNCP,16000000.0
2005-12-14,New York Stock Exchange,"SUNTECH POWER HOLDINGS CO., LTD.",26380000.0,15.00,priced,STP,395700000.0
2005-12-13,,CURAXIS PHARMACEUTICAL CORP,,,withdrawn,,
2005-12-13,Nasdaq National Market,SCOPUS VIDEO NETWORKS LTD.,4500000.0,7.00,priced,SCOP,31500000.0
2005-12-13,Nasdaq National Market,CAPITALSOUTH BANCORP,600000.0,18.75,priced,CAPB,11250000.0
2005-12-13,Nasdaq National Market,"DEALERTRACK TECHNOLOGIES, INC",10000000.0,17.00,priced,TRAK,170000000.0
2005-12-09,,"AMNOR BOOKS, INC",,,withdrawn,,
2005-12-09,Nasdaq National Market,"WIDERTHAN CO., LTD.",6000000.0,12.00,priced,WTHN,72000000.0
2005-12-09,Nasdaq National Market,CYNOSURE INC,5000000.0,15.00,priced,CYNO,75000000.0
2005-12-09,New York Stock Exchange,"BASIC ENERGY SERVICES, INC.",12500000.0,20.00,priced,BAS,250000000.0
2005-12-09,New York Stock Exchange,INVESCO CURRENCYSHARES EURO TRUST,17000000.0,117.34,priced,FXE,1994780000.0
2005-12-09,OTCBB,INNOVATIVE CARD TECHNOLOGIES INC,3178331.0,1.00,priced,INVC,3178331.0
2005-12-08,New York Stock Exchange,IGATE COMPUTER SYSTEMS LTD,6875000.0,20.34,priced,PTI,139837500.0
